team,games_played,possessions,frequency,points_per_poss,points,fg_made,fg_att,fg_perc,eff_fg_perc,ft_freq,tov_freq,sf_freq,and1_freq,score_freq,percentile,season,playtype,offdef
UTA,64,6.2,5.7,1.36,8.4,3.5,4.9,70.8,70.8,19.1,5.3,18.1,3.8,69.3,89.7,2019,cut,offense
POR,66,6.4,5.7,1.22,7.8,3.3,5.2,63.8,63.8,16.1,8.5,15.9,5.5,61.6,10.3,2019,cut,offense
LAC,64,6.4,5.5,1.26,8,3.4,5.2,65.5,65.5,15.7,7.1,15.4,3.9,63.5,37.9,2019,cut,offense
DAL,67,5.5,4.9,1.37,7.5,3.1,4.5,69.9,69.9,17,5.9,16.8,4.9,68.6,96.6,2019,cut,offense
OKC,64,5.9,5.5,1.31,7.8,3.5,5,69.3,69.3,12.4,6.9,11.9,3.4,66.5,69,2019,cut,offense
SAS,63,5.2,4.6,1.26,6.5,2.8,4.3,65.6,65.6,12.9,6.2,12.3,2.2,64,44.8,2019,cut,offense
HOU,82,3.7,3.3,0.8,3,1.1,2.9,37.7,44.3,7.2,16.1,4.9,1,35.1,82.8,2015,handoff,defense
PHI,82,4,3.6,0.75,3,1.2,3.3,35.4,39.7,7.3,13,6.1,1.5,34.2,96.6,2015,handoff,defense
SAC,82,4,3.5,0.79,3.1,1.2,3.3,35.4,41.1,6.7,11.6,5.8,1.2,34.6,86.2,2015,handoff,defense
UTA,82,4.2,4.1,0.78,3.3,1.3,3.4,37.3,43.4,6.1,14.2,5.5,1.2,35.1,93.1,2015,handoff,defense
ATL,82,4.6,4.1,0.74,3.4,1.3,3.7,34.3,39.3,6.6,13.8,5.9,1.1,33.2,100,2015,handoff,defense
DEN,82,4,3.7,0.86,3.4,1.2,3.2,37.7,43.7,10.4,12.5,10.4,2.4,37.9,55.2,2015,handoff,defense
DAL,82,4,3.7,0.86,3.5,1.4,3.4,39.8,46.4,4.8,10.9,3.3,0.3,38.1,62.1,2015,handoff,defense
ORL,82,4,3.7,0.87,3.5,1.3,3,43,48.2,9.4,16.7,6.7,1.5,40,41.4,2015,handoff,defense
MEM,82,4.3,4,0.83,3.5,1.2,3.2,38.1,44.9,8.9,16,6.9,0.9,36.7,79.3,2015,handoff,defense
CLE,82,4,3.9,0.89,3.6,1.3,3.1,40.4,47.5,9.7,14.2,9.1,0.9,39.6,34.5,2015,handoff,defense
BKN,82,4.3,4,0.84,3.6,1.3,3.6,37,43.3,7.4,11.1,6.5,1.4,36.6,75.9,2015,handoff,defense
TOR,82,4.3,4.1,0.87,3.7,1.5,3.6,41,46.4,6.6,11.4,4.9,1.7,39.1,48.3,2015,handoff,defense
MIA,82,4.8,4.5,0.79,3.8,1.4,4,35.2,39.4,7.9,9.4,7.4,0.5,36.1,89.7,2015,handoff,defense
BOS,82,4.6,4.1,0.85,3.9,1.5,3.6,40.9,46.6,7.4,15.2,5.1,1.3,38.3,69,2015,handoff,defense
SAS,82,4.5,4.3,0.87,4,1.5,3.6,40.7,45.8,8.3,13.7,6.5,1.3,39.2,44.8,2015,handoff,defense
LAC,82,4.7,4.2,0.85,4,1.5,3.7,39.1,45.6,7.1,13.4,6.5,0.8,37.7,72.4,2015,handoff,defense
MIL,82,4.4,4.1,0.91,4,1.4,3.5,39.9,46.4,10,11.1,9.2,1.9,40.3,27.6,2015,handoff,defense
IND,82,4.7,4.2,0.86,4,1.6,3.8,42.3,46.8,7.3,12,6.3,0.8,40.8,58.6,2015,handoff,defense
OKC,82,4.9,4.4,0.85,4.1,1.5,4,38.7,44.4,7.3,11.3,5.8,1,37.9,65.5,2015,handoff,defense
DET,82,4.8,4.6,0.87,4.2,1.7,4.1,40,43.7,7.1,9.3,6,2,39.3,51.7,2015,handoff,defense
NOP,82,4.7,4.3,0.91,4.2,1.7,4,42.1,48.2,4.7,9.9,3.7,0.5,40.3,24.1,2015,handoff,defense
MIN,82,4.5,4.1,0.94,4.2,1.6,3.8,42.3,50,7.3,10.3,6.8,1.9,40.5,10.3,2015,handoff,defense
WAS,82,4.8,4.4,0.92,4.4,1.5,3.9,38.9,46.3,8.7,10.2,7.4,0.8,39.5,17.2,2015,handoff,defense
CHI,82,4.8,4.4,0.91,4.4,1.6,4.1,38.3,44.5,9.6,6.8,8.6,2.3,40,20.7,2015,handoff,defense
GSW,82,5,4.4,0.88,4.4,1.7,4.2,39.5,45.8,6.6,9.3,6.1,0.5,38.8,37.9,2015,handoff,defense
CHA,82,4.7,4.4,0.94,4.4,1.7,3.9,45.3,50.8,7.5,11.9,6.7,1.3,43.2,6.9,2015,handoff,defense
NYK,82,5,4.7,0.9,4.5,1.7,4.3,40.2,45,8.6,6.9,8.6,2.5,40.8,31,2015,handoff,defense
PHX,82,5,4.5,0.94,4.7,1.7,3.9,44.1,50.8,8.8,12.5,7.4,0.7,42.5,3.4,2015,handoff,defense
LAL,82,5.2,4.8,0.93,4.9,1.9,4.4,42.3,48.6,6.6,9.2,5.9,1.2,41.5,13.8,2015,handoff,defense
POR,82,5.3,4.9,1.02,5.4,2,4.5,44,52.3,8.7,7.5,8,1.6,44.3,0,2015,handoff,defense
MIL,82,4,3.7,0.8,3.2,1.2,3.4,34.5,40.7,7,10.1,6.1,1.2,34.6,100,2016,handoff,defense
DAL,82,4.1,4,0.84,3.5,1.3,3.3,39.3,45.2,6.8,13.2,5,0.3,37.4,93.1,2016,handoff,defense
MEM,82,4,3.8,0.95,3.8,1.3,3.1,40.4,48.6,11.7,10.8,10.2,1.2,41.7,20.7,2016,handoff,defense
TOR,82,4.2,3.9,0.92,3.8,1.4,3.3,42.9,49.4,8.7,14.9,8.2,2,39.9,48.3,2016,handoff,defense
GSW,82,4.7,4.2,0.82,3.9,1.4,3.6,39.9,46.4,7.8,17.3,8,1,36.4,96.6,2016,handoff,defense
